File,Part,Start,Average Silence Duration,Speech Rate,Average Vowel Duration,Type
1MSA-ESWQ-chevre.wav,13,33.03,0.1700,4.0816,0.0862,auto
1MSA-FXAY-chevre.wav,1,0.57,0.0000,5.9028,0.0893,manuel
1MSA-FXAY-chevre.wav,2,4.22,0.0000,5.3455,0.0886,manuel
1MSA-FXAY-chevre.wav,3,7.23,0.2055,5.0104,0.1181,manuel
1MSA-FXAY-chevre.wav,4,12.15,0.0000,4.9953,0.1429,manuel
1MSA-FXAY-chevre.wav,5,14.57,0.0000,4.9618,0.1062,manuel
1MSA-FXAY-chevre.wav,6,19.44,0.0000,4.7596,0.0961,manuel
1MSA-FXAY-chevre.wav,7,22.44,0.0000,4.3104,0.1282,manuel
1MSA-FXAY-chevre.wav,1,0.57,0.0000,5.9028,0.0653,auto
1MSA-FXAY-chevre.wav,2,4.17,0.0000,4.2328,0.0750,auto
1MSA-FXAY-chevre.wav,3,7.20,0.2100,5.2910,0.0930,auto
1MSA-FXAY-chevre.wav,4,12.12,0.0000,4.8611,0.0943,auto
1MSA-FXAY-chevre.wav,5,14.55,0.0000,4.6448,0.0800,auto
1MSA-FXAY-chevre.wav,6,19.41,0.0000,4.7009,0.0791,auto
1MSA-FXAY-chevre.wav,7,22.41,0.0000,5.0179,0.0836,auto
